Hierarchy,Name (location),Time,Calls,Time/Call,% Time
+-,Summary,1.840s,,,100.0
  +-,??,10.000ms,,,0.54347825
  | +-,__libc_csu_init,10.000ms,,,0.54347825
  |   +-,__libc_csu_init (??:-1),10.000ms,,,0.54347825
  |     +-,0x401740,10.000ms,,,0.54347825
  +-,filter.c,1.660s,,,90.21739
  | +-,derivative,150.000ms,10800000,13ns,8.152174
  | | +-,derivative (filter.c:13),150.000ms,,,8.152174
  | |   +-,0x400994,10.000ms,,,0.54347825
  | |   +-,0x40099c,20.000ms,,,1.0869565
  | |   +-,0x4009a8,20.000ms,,,1.0869565
  | |   +-,0x4009b0,20.000ms,,,1.0869565
  | |   +-,0x4009c4,10.000ms,,,0.54347825
  | |   +-,0x4009d8,10.000ms,,,0.54347825
  | |   +-,0x4009fc,10.000ms,,,0.54347825
  | |   +-,0x400a00,20.000ms,,,1.0869565
  | |   +-,0x400a2c,10.000ms,,,0.54347825
  | |   +-,0x400a34,20.000ms,,,1.0869565
  | +-,highpass,150.000ms,10800000,13ns,8.152174
  | | +-,highpass (filter.c:9),150.000ms,,,8.152174
  | |   +-,0x400878,10.000ms,,,0.54347825
  | |   +-,0x400888,10.000ms,,,0.54347825
  | |   +-,0x400898,10.000ms,,,0.54347825
  | |   +-,0x4008c4,10.000ms,,,0.54347825
  | |   +-,0x4008cc,10.000ms,,,0.54347825
  | |   +-,0x4008d4,10.000ms,,,0.54347825
  | |   +-,0x400908,10.000ms,,,0.54347825
  | |   +-,0x40090c,10.000ms,,,0.54347825
  | |   +-,0x400910,10.000ms,,,0.54347825
  | |   +-,0x400920,10.000ms,,,0.54347825
  | |   +-,0x400948,10.000ms,,,0.54347825
  | |   +-,0x400954,40.000ms,,,2.173913
  | +-,lowpass,110.000ms,10800000,10ns,5.978261
  | | +-,lowpass (filter.c:5),110.000ms,,,5.978261
  | |   +-,0x40077c,10.000ms,,,0.54347825
  | |   +-,0x40078c,30.000ms,,,1.6304348
  | |   +-,0x4007c8,10.000ms,,,0.54347825
  | |   +-,0x4007d4,10.000ms,,,0.54347825
  | |   +-,0x4007d8,10.000ms,,,0.54347825
  | |   +-,0x4007f4,10.000ms,,,0.54347825
  | |   +-,0x4007f8,20.000ms,,,1.0869565
  | |   +-,0x40080c,10.000ms,,,0.54347825
  | +-,movingWindow,1.150s,10800000,106ns,62.5
  | | +-,movingWindow (filter.c:25),1.100s,,,59.782608
  | | | +-,0x400af0,60.000ms,,,3.2608695
  | | | +-,0x400afc,60.000ms,,,3.2608695
  | | | +-,0x400b00,10.000ms,,,0.54347825
  | | | +-,0x400b04,260.000ms,,,14.130435
  | | | +-,0x400b08,80.000ms,,,4.347826
  | | | +-,0x400b10,90.000ms,,,4.8913045
  | | | +-,0x400b18,90.000ms,,,4.8913045
  | | | +-,0x400b1c,450.000ms,,,24.456522
  | | +-,movingWindow (filter.c:27),50.000ms,,,2.7173913
  | |   +-,0x400b30,10.000ms,,,0.54347825
  | |   +-,0x400b4c,40.000ms,,,2.173913
  | +-,squaring,100.000ms,10800000,9ns,5.4347825
  |   +-,squaring (filter.c:17),10.000ms,,,0.54347825
  |   | +-,0x400a50,10.000ms,,,0.54347825
  |   +-,squaring (filter.c:18),90.000ms,,,4.8913045
  |     +-,0x400a64,20.000ms,,,1.0869565
  |     +-,0x400a78,10.000ms,,,0.54347825
  |     +-,0x400a80,10.000ms,,,0.54347825
  |     +-,0x400a9c,30.000ms,,,1.6304348
  |     +-,0x400ab4,20.000ms,,,1.0869565
  +-,main.c,70.000ms,,,3.8043478
  | +-,main,70.000ms,0,,3.8043478
  |   +-,main (main.c:19),30.000ms,,,1.6304348
  |   | +-,0x400c9c,10.000ms,,,0.54347825
  |   | +-,0x400ca4,10.000ms,,,0.54347825
  |   | +-,0x400cb4,10.000ms,,,0.54347825
  |   +-,main (main.c:20),10.000ms,,,0.54347825
  |   | +-,0x400cc4,10.000ms,,,0.54347825
  |   +-,main (main.c:22),10.000ms,,,0.54347825
  |   | +-,0x400d24,10.000ms,,,0.54347825
  |   +-,main (main.c:25),10.000ms,,,0.54347825
  |   | +-,0x400d84,10.000ms,,,0.54347825
  |   +-,main (main.c:7),10.000ms,,,0.54347825
  |     +-,0x400b50,10.000ms,,,0.54347825
  +-,peaks.c,50.000ms,,,2.7173913
  | +-,findPeaks,40.000ms,10800000,3ns,2.173913
  | | +-,findPeaks (peaks.c:21),20.000ms,,,1.0869565
  | | | +-,0x400f04,20.000ms,,,1.0869565
  | | +-,findPeaks (peaks.c:23),20.000ms,,,1.0869565
  | |   +-,0x400f70,10.000ms,,,0.54347825
  | |   +-,0x400f78,10.000ms,,,0.54347825
  | +-,findRPeaks,10.000ms,202,49.504us,0.54347825
  |   +-,findRPeaks (peaks.c:36),10.000ms,,,0.54347825
  |     +-,0x401080,10.000ms,,,0.54347825
  +-,sensor.c,50.000ms,,,2.7173913
    +-,getNextData,30.000ms,10800000,2ns,1.6304348
    | +-,getNextData (sensor.c:20),30.000ms,,,1.6304348
    |   +-,0x40170c,10.000ms,,,0.54347825
    |   +-,0x401710,20.000ms,,,1.0869565
    +-,saveData,20.000ms,10800000,1ns,1.0869565
      +-,saveData (sensor.c:18),20.000ms,,,1.0869565
        +-,0x401704,20.000ms,,,1.0869565
